data,casa,fora,odd_casa,odd_empate,odd_fora
2021-07-31,Guarani,Vila Nova,1.77,3.13,5.61
2021-07-31,Cruzeiro,Londrina,1.81,3.21,4.99
2021-07-30,Coritiba,Náutico,2.49,2.82,3.25
2021-07-30,Goiás,Operário Ferroviário,1.91,3.17,4.45
2021-07-28,Avaí,Clube Do Remo,1.95,3.09,4.36
2021-07-28,Botafogo,CSA,2.12,3.13,3.63
2021-07-25,Avaí,Grêmio Esportivo Brasil,1.61,3.50,6.14
2021-07-25,Sampaio Corrêa,CRB,2.05,3.07,4.04
2021-07-25,Operário Ferroviário,Coritiba,2.74,2.63,3.12
2021-07-25,CSA,Vitória,2.34,2.93,3.37
2021-07-25,Vasco da Gama,Guarani,2.28,3.02,3.37
2021-07-24,Náutico,Brusque,1.7,3.62,4.94
2021-07-24,Confiança,Botafogo,3.07,3.08,2.4
2021-07-24,Vila Nova,Cruzeiro,3.47,2.90,2.31
2021-07-23,Ponte Preta,Goiás,2.77,2.87,2.8
2021-07-23,Londrina,Clube Do Remo,2.63,2.80,3.02
2021-07-23,Avaí,Operário Ferroviário,2.15,2.97,3.78
2021-07-22,Coritiba,CRB,1.89,3.05,4.78
2021-07-22,CSA,Vasco da Gama,3.01,2.87,2.6
2021-07-22,Náutico,Grêmio Esportivo Brasil,1.49,3.89,7.15
2021-07-21,Vila Nova,Brusque,2.58,2.86,3.06
2021-07-21,Vitória,Ponte Preta,2.24,2.91,3.65
2021-07-20,Botafogo,Goiás,2.22,3.07,3.47
2021-07-20,Guarani,Sampaio Corrêa,1.76,3.19,5.39
2021-07-20,Londrina,Confiança,2.48,2.92,3.13
2021-07-20,Clube Do Remo,Cruzeiro,3.15,2.91,2.47
2021-07-18,CRB,Vila Nova,1.98,3.07,4.28
2021-07-18,Vasco da Gama,Náutico,2.1,3.15,3.69
2021-07-17,Brusque,Botafogo,3.01,3.07,2.46
2021-07-17,Operário Ferroviário,CSA,2.25,2.75,3.9
2021-07-17,Ponte Preta,Clube Do Remo,1.86,3.10,4.85
2021-07-17,Cruzeiro,Avaí,2.18,2.97,3.71
2021-07-17,Goiás,Londrina,1.76,3.33,5.06
2021-07-17,Grêmio Esportivo Brasil,Vitória,3.67,2.87,2.24
2021-07-17,Sampaio Corrêa,Coritiba,3.06,2.77,2.64
2021-07-16,Confiança,Guarani,3.09,2.87,2.53
2021-07-15,Clube Do Remo,Brusque,2.84,3.02,2.62
2021-07-14,CSA,Goiás,2.58,2.86,3.06
2021-07-14,Coritiba,Vasco da Gama,2.75,2.81,2.88
2021-07-14,Londrina,Operário Ferroviário,3.2,2.75,2.57
2021-07-14,Vitória,Sampaio Corrêa,2.3,2.79,3.66
2021-07-13,Avaí,Confiança,1.95,3.18,4.15
2021-07-13,Guarani,CRB,1.77,3.43,4.71
2021-07-13,Vila Nova,Grêmio Esportivo Brasil,2.12,2.86,4.1
2021-07-12,Náutico,Ponte Preta,2.07,3.11,3.78
2021-07-11,Brusque,CSA,2.3,3.06,3.34
2021-07-10,Confiança,Vitória,2.69,2.97,2.84
2021-07-10,Botafogo,Cruzeiro,2.4,2.80,3.48
2021-07-10,Operário Ferroviário,Grêmio Esportivo Brasil,1.75,3.16,5.77
2021-07-10,Goiás,Náutico,2.42,2.98,3.19
2021-07-09,Londrina,Guarani,3.79,2.90,2.19
2021-07-09,Vasco da Gama,Sampaio Corrêa,1.95,2.97,4.64
2021-07-09,Clube Do Remo,Vila Nova,2.58,2.72,3.18
2021-07-07,CRB,Botafogo,3.0,2.99,2.49
2021-07-06,Cruzeiro,Coritiba,2.39,2.84,3.34
2021-07-06,Ponte Preta,Avaí,2.65,2.86,2.93
2021-07-04,Guarani,Brusque,2.06,3.10,3.88
2021-07-04,Vila Nova,Ponte Preta,3.22,2.72,2.56
2021-07-04,Vitória,Goiás,2.65,2.83,2.95
2021-07-04,Avaí,Botafogo,2.51,2.91,3.07
2021-07-03,Grêmio Esportivo Brasil,Cruzeiro,3.67,2.79,2.29
2021-07-03,Sampaio Corrêa,Londrina,2.19,3.05,3.52
2021-07-03,CSA,CRB,2.57,2.93,2.95
2021-07-03,Vasco da Gama,Confiança,1.74,3.34,5.1
2021-07-02,Coritiba,Clube Do Remo,1.71,3.33,5.42
2021-07-02,Náutico,Operário Ferroviário,2.08,2.95,3.98
2021-07-01,Botafogo,Vitória,2.16,3.01,3.69
2021-06-30,Cruzeiro,Guarani,2.08,3.05,3.85
2021-06-30,Goiás,Vasco da Gama,2.45,2.90,3.17
2021-06-30,Londrina,Avaí,2.93,2.82,2.69
