key,shots_off_target_casa,shots_off_target_fora,ball_possession_casa,ball_possession_fora,aerials_won_casa,aerials_won_fora,dribbles_casa,dribbles_fora,offsides_casa,offsides_fora,shots_outside_box_casa,shots_outside_box_fora,big_chances_casa,big_chances_fora,accurate_passes_casa,accurate_passes_fora,shots_on_target_casa,shots_on_target_fora,goalkeeper_saves_casa,goalkeeper_saves_fora,counter_attack_goals_casa,counter_attack_goals_fora,corner_kicks_casa,corner_kicks_fora,possession_lost_casa,possession_lost_fora,counter_attack_shots_casa,counter_attack_shots_fora,counter_attacks_casa,counter_attacks_fora,fouls_casa,fouls_fora,tackles_casa,tackles_fora,total_shots_casa,total_shots_fora,interceptions_casa,interceptions_fora,passes_casa,passes_fora,crosses_casa,crosses_fora,clearances_casa,clearances_fora,hit_woodwork_casa,hit_woodwork_fora,long_balls_casa,long_balls_fora,duels_won_casa,duels_won_fora,blocked_shots_casa,blocked_shots_fora,big_chances_missed_casa,big_chances_missed_fora,shots_inside_box_casa,shots_inside_box_fora,yellow_cards_casa,yellow_cards_fora,red_cards_casa,red_cards_fora
29/05/2021ConfiançaCruzeiroECBrasileiroSerieB2021,2,4,69%,31%,11,4,3/5 (60%),2/4 (50%),6,1,5,4,2,1,262 (87%),100 (72%),4,1,0,2,1,0,2,1,58,48,1,0,2,0,0,0,5,3,9,5,3,6,300,138,0/8 (0%),1/2 (50%),5,12,1,1,17/21 (81%),7/31 (23%),22,18,3,0,0,0,4,1,3,0,0,0
03/06/2021CruzeiroECJuazeirenseCopadoBrasil2021,4,0,63%,37%,16,12,4/7 (57%),2/3 (67%),0,1,1,0,2,0,243 (86%),121 (72%),1,1,1,0,0,0,8,0,78,70,0,0,0,0,0,0,6,14,7,2,3,10,282,169,3/10 (30%),0/2 (0%),6,8,0,0,12/19 (63%),17/36 (47%),34,42,2,1,1,0,6,2,3,3,0,0
06/06/2021CruzeiroECCRBBrasileiroSerieB2021,5,3,59%,41%,11,9,5/12 (42%),3/6 (50%),0,0,4,3,0,0,208 (84%),146 (78%),5,2,0,3,0,0,7,1,81,60,0,0,0,0,0,0,5,12,11,5,5,6,248,186,8/27 (30%),1/3 (33%),2,21,0,1,22/32 (69%),17/38 (45%),25,27,1,0,0,0,7,2,1,2,0,0
12/06/2021CruzeiroECGoiásBrasileiroSerieB2021,2,2,74%,27%,3,6,2/7 (29%),4/6 (67%),2,0,3,2,1,0,320 (91%),91 (69%),2,2,2,1,0,0,5,0,63,60,0,1,0,1,0,0,4,7,7,4,6,5,352,131,4/17 (24%),0/2 (0%),1,7,0,0,26/34 (76%),10/29 (34%),14,24,3,0,1,0,4,2,0,1,0,0
16/06/2021PontePretaCruzeiroECBrasileiroSerieB2021,2,2,68%,32%,8,11,1/6 (17%),4/6 (67%),1,0,2,2,0,0,239 (82%),92 (68%),1,1,0,1,0,0,1,1,77,63,0,0,0,0,0,0,4,9,3,4,1,5,290,135,1/5 (20%),1/5 (20%),7,7,0,0,19/38 (50%),16/35 (46%),22,31,0,1,0,0,1,2,0,1,0,0
19/06/2021OperárioFerroviárioCruzeiroECBrasileiroSerieB2021,3,1,65%,35%,6,6,3/7 (43%),1/2 (50%),1,0,2,0,0,0,231 (85%),96 (65%),1,1,1,0,0,0,0,3,73,72,0,0,0,0,0,0,3,10,4,5,4,1,272,148,5/15 (33%),2/5 (40%),5,11,0,0,16/32 (50%),18/46 (39%),16,27,0,3,0,0,2,5,2,1,0,0
24/06/2021CruzeiroECVascodaGamaBrasileiroSerieB2021,1,8,44%,56%,6,14,1/6 (17%),8/13 (62%),0,4,1,4,0,0,147 (77%),201 (84%),0,2,2,0,0,0,0,6,62,67,0,0,0,0,0,0,12,7,1,13,3,9,191,238,1/6 (17%),7/15 (47%),12,5,0,0,22/42 (52%),13/22 (59%),26,42,0,3,0,0,0,9,1,2,0,0
14/04/2021AméricaRNCruzeiroECCopadoBrasil2021,2,6,26%,74%,3,6,4/8 (50%),3/7 (43%),1,2,2,6,1,2,65 (63%),260 (88%),2,3,2,2,0,0,1,4,54,59,1,0,1,0,0,0,9,6,5,13,8,2,104,296,1/5 (20%),4/10 (40%),8,2,0,1,11/31 (35%),14/19 (74%),26,23,1,4,1,1,3,7,1,1,0,0
16/01/2021JuventudeCruzeiroECBrasileiroSerieB2020,3,8,29%,71%,10,11,2/2 (100%),4/11 (36%),2,3,2,8,0,0,73 (63%),214 (81%),1,2,2,1,0,0,0,5,63,86,2,0,2,0,0,0,13,1,5,14,9,5,115,263,1/3 (33%),8/17 (47%),17,1,0,1,12/43 (28%),26/41 (63%),27,24,1,4,0,0,3,6,4,1,0,0
20/01/2021CruzeiroECOperárioFerroviárioBrasileiroSerieB2020,2,3,37%,63%,6,5,5/9 (56%),4/6 (67%),1,1,1,6,3,0,90 (68%),185 (82%),3,2,1,2,0,0,5,7,65,71,2,0,2,0,0,0,4,5,9,6,7,2,132,226,2/9 (22%),1/12 (8%),15,6,0,0,13/34 (38%),18/28 (64%),25,24,4,1,2,0,8,0,0,4,0,2
